eFNC8Iyd_D0_600_900_20_0,20.0,ABCNews
eFNC8Iyd_D0_600_900_30_0,30.0,ABCNews
eFNC8Iyd_D0_600_900_40_0,40.0,ABCNews
eFNC8Iyd_D0_600_900_50_0,50.0,ABCNews
eFNC8Iyd_D0_600_900_60_0,60.0,ABCNews
eFNC8Iyd_D0_600_900_70_0,70.0,ABCNews
eFNC8Iyd_D0_600_900_80_0,80.0,ABCNews
eFNC8Iyd_D0_600_900_90_0,90.0,ABCNews
eFNC8Iyd_D0_600_900_100_0,100.0,ABCNews
eFNC8Iyd_D0_600_900_110_0,110.0,ABCNews
eFNC8Iyd_D0_600_900_120_0,120.0,ABCNews
eFNC8Iyd_D0_600_900_130_0,130.0,ABCNews
eFNC8Iyd_D0_600_900_140_0,140.0,ABCNews
eFNC8Iyd_D0_600_900_150_0,150.0,ABCNews
eFNC8Iyd_D0_600_900_160_0,160.0,ABCNews
eFNC8Iyd_D0_600_900_170_0,170.0,ABCNews
eFNC8Iyd_D0_600_900_180_0,180.0,ABCNews
eFNC8Iyd_D0_600_900_190_0,190.0,ABCNews
eFNC8Iyd_D0_600_900_200_0,200.0,ABCNews
eFNC8Iyd_D0_600_900_210_0,210.0,ABCNews
eFNC8Iyd_D0_600_900_220_0,220.0,ABCNews
eFNC8Iyd_D0_600_900_230_0,230.0,ABCNews
eFNC8Iyd_D0_600_900_240_0,240.0,ABCNews
eFNC8Iyd_D0_600_900_250_0,250.0,ABCNews
eFNC8Iyd_D0_600_900_260_0,260.0,ABCNews
eFNC8Iyd_D0_600_900_270_0,270.0,ABCNews
eFNC8Iyd_D0_600_900_280_0,280.0,ABCNews
eFNC8Iyd_D0_600_900_290_0,290.0,ABCNews
eFNC8Iyd_D0_0_300_20_0,20.0,ABCNews
eFNC8Iyd_D0_0_300_30_0,30.0,ABCNews
eFNC8Iyd_D0_0_300_40_0,40.0,ABCNews
eFNC8Iyd_D0_0_300_50_0,50.0,ABCNews
eFNC8Iyd_D0_0_300_60_0,60.0,ABCNews
eFNC8Iyd_D0_0_300_70_0,70.0,ABCNews
eFNC8Iyd_D0_0_300_80_0,80.0,ABCNews
eFNC8Iyd_D0_0_300_90_0,90.0,ABCNews
eFNC8Iyd_D0_0_300_100_0,100.0,ABCNews
eFNC8Iyd_D0_0_300_110_0,110.0,ABCNews
eFNC8Iyd_D0_0_300_120_0,120.0,ABCNews
eFNC8Iyd_D0_0_300_130_0,130.0,ABCNews
eFNC8Iyd_D0_0_300_140_0,140.0,ABCNews
eFNC8Iyd_D0_0_300_150_0,150.0,ABCNews
eFNC8Iyd_D0_0_300_160_0,160.0,ABCNews
eFNC8Iyd_D0_0_300_170_0,170.0,ABCNews
eFNC8Iyd_D0_0_300_180_0,180.0,ABCNews
eFNC8Iyd_D0_0_300_190_0,190.0,ABCNews
eFNC8Iyd_D0_0_300_200_0,200.0,ABCNews
eFNC8Iyd_D0_0_300_210_0,210.0,ABCNews
eFNC8Iyd_D0_0_300_220_0,220.0,ABCNews
eFNC8Iyd_D0_0_300_230_0,230.0,ABCNews
